State,Store Name,Store Address,Store Timings,Store Name + State,latitude,longitude
KARNATAKA,MINISO NEW BELL ROAD,"


no-22 Ground And First Floor Beside Us Polo  Ramesh Memorial Hospital Banglore


",10:00 AM to 9:00 PM,"MINISO NEW BELL ROAD, KARNATAKA",13.03585,77.56703
KARNATAKA,MINISO UTTARAHALLI,"1&2 Ground Floor 20&21, Uttarahalli Main Road Banglore-560061",,"MINISO UTTARAHALLI, KARNATAKA",12.89757,77.5283
KARNATAKA,SHERI LIFESTYLES,Khade Bazzar,10:00 AM to 9:00 PM,"SHERI LIFESTYLES, KARNATAKA",17.42481,77.19955
KARNATAKA,MAYSOORE,"G-2, Forum Centre City Mall, No.8 & N-5, Hyder Ali Road, Nazarbad Mohalla, Mysuru, Karnataka 570019",10:00 AM to 9:00 PM,"MAYSOORE, KARNATAKA",12.8913135,77.38728651
kerela,MINISO HILITE  MALL,"Ground Floor ,unit No.0049 Door No.2/1149-g53,hilite Mall ,ga College Post ,hilite City ,olavanna, Kozhikode, Kerala, 673014",10:00 AM to 9:00 PM,"MINISO HILITE  MALL, kerela",11.24873,75.83409
kerela,LULU MALL TRIVENDRUM,G01 First Floor Lulu Mall,10:00 AM to 9:00 PM,"LULU MALL TRIVENDRUM, kerela",8.55794,76.8767
kerela,MINISO HILITE MALL,Hilite Mal Kozhikode Kerala,10:00 AM to 9:00 PM,"MINISO HILITE MALL, kerela",11.24873,75.83409
KHRAR PUNJAB,MINISO KHRAR,"Kurli Road Khrar , Sas Nagar, Punjab, 140301",11:00 AM - 10:00 PM,"MINISO KHRAR, KHRAR PUNJAB",31.31668,75.9596
Kolkota,SOUTH CITY KOLKATA,South City Kolkata,10:00 AM to 9:00 PM,"SOUTH CITY KOLKATA, Kolkota",22.57059,88.37133
Kolkota,ACROPOLIS,"


f-oo9&10 1st Floor 1858/1 Rajdanga Main Road Kolkata 700107


",10:00 AM to 9:00 PM,"ACROPOLIS, Kolkota",22.51476,88.39287
