State,Store Name,Store Address,Store Timings,Store Name + State,latitude,longitude
Siliguri,CITY CENTRE SILIGURI,"City Centre Mall, The Uttorayon Township, Matigara, Nh-31, Siliguri, West Bengal - 734010",11:00 AM to 10:00 PM,"CITY CENTRE SILIGURI, Siliguri",26.72372,88.3948
SIRINAGAR,CITY WALK,"City Walk Mall, Mall Road, Srinagar, Jammu And Kashmir 190001",11:00 AM to 9:30 PM,"CITY WALK, SIRINAGAR",30.5219,76.19242
Sirsa,MINISO SIRSA,"Rori Bazar,gali Punjab National Bank,opposite Ajanta Cloth House, Sirsa (haryana)",11:00 AM - 10:00PM,"MINISO SIRSA, Sirsa",29.53952,75.03104
Surat,ADAJAN,"G-4, G-5, Aqua Corridor, Next To Star Bazar, Adajan, Surat, Gujarat 395009",11:00 AM to 10:00 PM,"ADAJAN, Surat",21.2009,72.79468
Surat,VR SURAT,"Vr Surat, Fp29, Dumas Rd, New Magdalla, Magdalla, Gujarat - 395007",11:00 AM to 10:00 PM,"VR SURAT, Surat",21.18583,72.83666
Surat,AQUA CORRIDOR,"Ground Floor, Aqua Corridor, Near Star Bazaar, Adajan, Surat, Gujarat - 395009",11:00 AM to 9:00 PM,"AQUA CORRIDOR, Surat",21.18695,72.79384
Tamil nadu,TIRUPUR,"


303/136, Kumran Road Tirupur


",10:00 AM to 9:00 PM,"TIRUPUR, Tamil nadu",11.11541,77.35456
Tamil nadu,MINISO VILLUPURAM,"247, Trichy Main Road Villupuram Tamilnadu 605602",10:00 AM to 9:00 PM,"MINISO VILLUPURAM, Tamil nadu",11.93975,79.49244
Tamil nadu,MINISO ADYAR,21-a Sardar Patel Road Adyar 600020,10:00 AM to 9:00 PM,"MINISO ADYAR, Tamil nadu",13.00303,80.25186
Telengana,AMR PLANET MALL,1st Floor Trimulgherry Ecil Road Moula Ali 500040,10:00 AM to 9:00 PM,"AMR PLANET MALL, Telengana",16.96962,78.72969
Thane,MINISO THANE,"Shop No- 4 , Ishan Arcade 1,opp Hanuman Mandir , Naupada , Thane West -400602
",10:00 AM to 9:00 PM,"MINISO THANE, Thane",19.20818,72.9721
Thane,XPERIA MALL STORE,"Shop No. 95, Ground Floor, Xperia Mall, Opposite Lodha World School, Palava City,  Dombivli East, Thane, Maharashtra - 421204",11:00 AM to 10:00 PM,"XPERIA MALL STORE, Thane",19.16511,73.07451
THILLAINAGAR,MINISO THILLAINAGAR,"Plot No :- B-20/12, Ground Floor, Sasthri Road , Thillainagar, Trichy 620018",10:00 AM to 9:00 PM,"MINISO THILLAINAGAR, THILLAINAGAR",10.82316,78.68656
Tripura,AGARTALA,"L.n Bari Road, Ganaraj Chownami, Near Akshita Motors, Tripura West-799001 ",10:00 AM to 8:00 PM,"AGARTALA, Tripura",23.8292,91.29058
Trivandrum,MALL OF TRAVANCORE MALL OF TRAVANCORE,"Ground Floor, Mall Of Travancore, Trivandrum-695012
",10:00 AM to 9:00 PM,"MALL OF TRAVANCORE MALL OF TRAVANCORE, Trivandrum",8.48719,76.92699
U.P,MINISO GHAZIABAD,"


f28,f29,ground Floor ,edm Mall Kaushambi, Ghaziabad ,up


",10:00 AM to 9:00 PM,"MINISO GHAZIABAD, U.P",28.64567,77.32002
U.P,MINISO MORADABBAD,"


shop No- 5,6 Wave Mall ,ramganga Vihar Moradabad


",10:00 AM to 9:00 PM,"MINISO MORADABBAD, U.P",28.83893,78.77684
U.P,MINISO EDM MALL KAUSHAMBI,"F28,f29,ground Floor ,edm Mall Kaushambi, Ghaziabad ,up
",11:00 AM - 10:00PM,"MINISO EDM MALL KAUSHAMBI, U.P",25.4990444,81.41698342
Vadodara,SARABHAI ROAD,"B-11, Rajesh Tower Road, Gotri, Vadodara, Gujarat - 390021",11:00 AM to 10:00 PM,"SARABHAI ROAD, Vadodara",22.30946,73.17988
Vadodara,OCEAN COMPLEX,"Shop No. 5, Ocean Complex, Sarabhai Road, Near Genda Circle, Vadodara, Gujarat - 390020",11:00 AM to 9:00 PM,"OCEAN COMPLEX, Vadodara",,
west bengal,MINISO KALIMPONG,"Miniso, Ground Floor Big Will Mart,below Girls High School,reshi Road,kalimpong",10:00 AM to 9:00 PM,"MINISO KALIMPONG, west bengal",,
Yamuna Nagar,"MODEL TOWN, YAMUNA NAGAR","Mela Singh Road, Model Town Yamunanagar 135001",10:30 AM - 09:00 PM,"MODEL TOWN, YAMUNA NAGAR, Yamuna Nagar",,
ZIRAKPUR,MINISO ZIRAKPUR,Zirakpur Road Punjab,11:00 AM - 10:00 PM,"MINISO ZIRAKPUR, ZIRAKPUR",,
